englishName,displayName,plantCouncilName,pcQuality,wholeSaleName,kind,varieties,type,whQaulity,Improted,image
Peaches 1880,אפרסקים1880,,,אפרסקים1880ק' 6.5,אפרסקים,,1880 ק' 6.5,קוטר 6.5,,61
Peaches 1880,אפרסקים1880,,,אפרסקים1880ק' 7,אפרסקים,,1880 ק' 7,קוטר 7,,62
Peaces White,אפרסקים לבנים,,,אפרסקים לבן,אפרסקים,,לבן,לבן,,63
Grapefruit Red,אשכוליות אדומות,,,אשכוליות אדומות סוג א,אשכוליות,אדומות,סוג א,סוג א,,64
Grpefruit white,אשכוליות לבנות,,,אשכוליות לבנות סוג א,אשכוליות,לבנות,סוג א,סוג א,,65
Sweetpotatos,בטטות,בטטות,סוג א,בטטות מ- 250גר סוג א,בטטות,,מ- 250 גר סוג א,מ-250גר' א,,66
Sweetpotatos,בטטות,בטטות,מובחר,,,,,,,
Sweetpotatos,בטטות,בטטות איכות מעולה,איכות מעולה סוג א,,,,,,,67
Sweetpotatos,בטטות,בטטות איכות מעולה,איכות מעולה מובחר,,,,,,,
Okra,במיה,,,במיה אורך:7-5סוג א,במיה,,אורך:7-5סוג א,אורך 7-5 א,,68
Okra ,במיה אריזה,,,במיה ארוז,במיה,,ארוז,באריזה,,69
Bananas,בננות,,,בננות סוג א,בננות,,סוג א,סוג א,,70
Onion Red,בצל אדום,בצל אדום,סוג א,בצל אדום מקומי,בצל,אדום,מקומי,מקומי,,71
Onion Red,בצל אדום,בצל אדום,מובחר,,,,,,,
Onion Dry,בצל יבש,בצל בית אלפא,בית אלפא סוג א,בצל בית-אלפא ק' 77-45סוג א,בצל,בית-אלפא,ק' 77-45סוג א,ק' 77-45 א,,73
Onion Dry,בצל יבש,בצל בית אלפא,בית אלפא מובחר,,,,,,,
Onion Dry (Import),בצל יבש,,,בצל ייבוא יבש,בצל,ייבוא,יבש,יבוא,1,74
Onion Dry,בצל יבש,בצל יבש,יבש סוג א,בצל  אורי ק' 77-45סוג א,בצל,אורי,ק' 77-45סוג א,ק' 77-45 א,,75
Onion Dry,בצל יבש,בצל יבש,יבש מובחר,,,,,,,
Onion Green ,בצל ירוק,,,בצל ירוק ארוז סוג א,בצל,ירוק,ארוז סוג א,אריזה  א,,76
Onion Green ,בצל ירוק,בצל ירוק,סוג א,בצל ירוק תפזורת סוג א,בצל,ירוק,תפזורת סוג א,תפזורת  א,,77
Onion Green ,בצל ירוק,בצל ירוק,מובחר,,,,,,,
Onion Dry,בצל יבש,בצל ריברסייד,ריברסייד סוג א,בצל ריברסייד ק' 77-50סוג א,בצל,ריברסייד,ק' 77-50סוג א,ק' 77-50 א,,78
Onion Dry,בצל יבש,בצל ריברסייד,ריברסייד מובחר,,,,,,,
Broccoli ,ברוקולי ,,,ברוקולי.,ברוקולי,,.,בתפזורת,,79
Broccoli ,ברוקולי ,ברוקולי באריזה קמעונאית,אריזה סוג א,ברוקולי ארוז,ברוקולי,,ארוז,באריזה,,80
Broccoli ,ברוקולי ,ברוקולי באריזה קמעונאית,אריזה מובחר,,,,,,,
Guavas,גויאבות,,,גויאבות סוג א',גויאבות,,סוג א',סוג א,,81
Carrot ,גזר ,גזר באריזה קמעונאית,אריזה סוג א,גזר ארוז,גזר,,ארוז,באריזה,,82
Carrot ,גזר ,גזר באריזה קמעונאית,אריזה מובחר,,,,,,,
Carrot ,גזר ,גזר בשקים,תפזורת סוג א,גזר תפזורת סוג א,גזר,,תפזורת סוג א,תפזורת סוג א,,83
Carrot ,גזר ,גזר בשקים,תפזורת מובחר,,,,,,,
Cherry Red,דובדבנים אדומים,,,דובדבנים אדומים מותג,דובדבנים,אדומים,מותג,מותג,,84
Chery Red,דובדבנים אדומים,,,דובדבנים אדומים סוג א,דובדבנים,אדומים,סוג א,סוג א,,85
Cherry white,דובדבנים לבנים,,,דובדבנים לבנים מותג,דובדבנים,לבנים,מותג,מותג,,86
Cherry White,דובדבנים לבנים,,,דובדבנים לבנים סוג א,דובדבנים,לבנים,סוג א,סוג א,,87
Butternut squash,דלורית,דלורית,סוג א,דלורית סוג א,דלורית,,סוג א,סוג א,,88
Butternut squash,דלורית,דלורית,מובחר,,,,,,,
Pumpkin,דלעת,דלעת,סוג א,"דלעת בין25-10ק""ג א",דלעת,,"בין25-10ק""ג א","25-10ק""ג א",,89
Pumpkin,דלעת,דלעת,מובחר,,,,,,,
Chestnut Pumpkin,דלעת ערמונים,דלעת ערמונים,סוג א,,,,,,,90
Chestnut Pumpkin,דלעת ערמונים,דלעת ערמונים,מובחר,,,,,,,
Quinces (Import),חבושים,,,חבושים ייבוא,חבושים,,ייבוא,יבוא,1,91
Quinces,חבושים,,,חבושים סוג א,חבושים,,סוג א,סוג א,,92
Horseradish,חזרת,,,חזרת ב- 30-10ס'א,חזרת,,ב- 30-10ס'א, 30-10ס'א,,93
Iceberg lettuce,חסה עגולה,,,חסה עגולה יח' 1סוג א,חסה,עגולה,יח' 1סוג א,יח' 1 סוג א,,94
Lettuce,חסה,,,חסה ערבית יח' 1סוג א,חסה,ערבית,יח' 1סוג א,יח' 1 סוג א,,95
Lettuce,חסה,חסה 8 יחידות,8 יחידות סוג א,,,,,,,
Lettuce,חסה,חסה 8 יחידות,8 יחידות מובחר,,,,,,,96
Eggplants ,חצילים,חצילים חממה,חממה סוג א,חצילים חממה,חצילים,,חממה,חממה,,97
Eggplants,חצילים,חצילים חממה,חממה מובחר,,,,,,,
Eggplants,חצילים,חצילים,סוג א,חצילים ש.פ.סוג א,חצילים,,ש.פ.סוג א,ש.פ סוג א,,98
Eggplants,חצילים,חצילים,מובחר,,,,,,,
Red cabbage,כרוב אדום,כרוב אדום,סוג א,"כרוב אדום1-0.5ק""ג סוג א",כרוב,אדום,"1-0.5ק""ג סוג א","1-0.5ק""ג א",,99
Red cabbage,כרוב אדום,כרוב אדום,מובחר,,,,,,,
White Cabbage,כרוב לבן,כרוב לבן,סוג א,"כרוב לבן1-0.8ק""ג סוג א",כרוב,לבן,"1-0.8ק""ג סוג א","1-0.8ק""ג א",,100
White Cabbage,כרוב לבן,כרוב לבן,מובחר,,,,,,,
Cauliflower,כרובית,כרובית,סוג א,"כרובית בין1.2-1ק""ג א",כרובית,,"בין1.2-1ק""ג א","1.2-1ק""ג א",,101
Cauliflower,כרובית,כרובית,מובחר,,,,,,,
Black-eyed peas,לוביה,,,לוביה סוג א,לוביה,,סוג א,סוג א,,102
Arum,לוף,לוף,סוג א,"לוף ב- 10-7ס""מ א",לוף,,"ב- 10-7ס""מ א","10-7ס""מ א",,103
Arum,לוף,לוף,מובחר,,,,,,,
Lemons,לימונים,,,לימונים לימונים סוג א,לימונים,,סוג א,סוג א,,104
Lemons Limequat ,לימון לימקווט,,,לימונים לימקווט ארוז,לימונים,לימקווט,ארוז,באריזה,,105
Lemons Limequat ,לימון לימקווט,,,לימונים לימקווט תפזורת,לימונים,לימקווט,תפזורת,בתפזורת,,106
Litchi,ליצ'י,,,ליצ'י מותג,ליצ'י,,מותג,מותג,,107
Turnip,לפת,לפת איכות מעולה,איכות מעולה סוג א,"לפת קוטר:90-70מ""מ",לפת,,"קוטר:90-70מ""מ","ק'90-70 מ""מ",,108
Turnip,לפת,לפת איכות מעולה,איכות מעולה מובחר,,,,,,,
Melons Galia,מלון גליה,מילון גליה מעולה,מעולה סוג א,מלונים גליה מותג,מלונים,גליה,מותג,מותג,,109
Melons Galia,מלון גליה,מילון גליה מעולה,מעולה מובחר,,,,,,,
Melons Orange pineapple,מלון כתום אננס,,,מלונים כתום אננס,מלונים,,כתום אננס,כתום אננס,,110
Melons Sherantia,מלון שרנתייה,,,מלונים שרנתייה,מלונים,,שרנתייה,שרנתייה,,111
